Categories,Germany,United Kingdom,United States,Turkey,Poland,Sweden,Norway,Russia,Japan,China,South Korea
Takeaway,16,19,31,29,,12,12,5,25,17,7.2
Hygiene products,13,21,27,,40,33,,13,,30,9.9
Clothing,25,21,27,40,27,42,,2.4,27,20,11
Household cleaning products,9,17,26,33,53,13,31,,24,50,7.4
Supermarket,10,30,24,50,52,19,14,18,25,35,9.9
Health products,15,15,21,34,43,43,,13,9,30,9.9
Books,14,16,15,,55,23,31,2.2,20,,
Hobby supplies,9,14,15,33,50,4,50,,,40,
Games,10,13,13,,13,5,,,,8,
Electronics,9,11,11,18,66,22,31,3,26,57,10.7
Video,7,7,11,,55,20,42,2.2,20,,
Music,7,8,10,,55,20,54,,20,3,
Magazines & Newspapers,6,7,6,,,,38,,20,43,12.6
Other,4,3,3,41,59,,59,15,5,,
No online for any category,47,35,29,,,,,,,,
