Country,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,10.4,12.2,12.6,14.9,15.7,17,18.3,26.2,24.3
USA,7.4,8.4,9.2,10.5,11.8,13.7,15.2,21.3,13.4
Germany,6,7.5,7.9,8.5,9.1,11,11.7,19.9,18.7
France,5.5,6.2,6.8,7.5,8.3,8.8,9.8,14.3,13.8
Japan,4.2,6.2,7.2,7.1,7.9,8.6,9.1,11.3,
Italy,1.8,2.2,2.6,3,3,3.4,3.7,6,5.8
Spain,,3.1,3.3,3.4,4,4.6,5.4,9.9,9.3
China,5.6,8.5,9.7,17.1,20.4,23.7,28.2,24,25
Poland,5.3,5.8,6.8,6.8,6.4,6.7,7.8,,
India,0.7,1.5,1.9,4.1,4.9,5.2,4.7,,
Brazil,3.1,3.5,4.1,4,6.3,7.2,7.6,8.3,9
Russia,2.8,3.3,3.8,3.8,4.8,5,7.2,8.17,11.5
Turkey,1.3,1.6,2,3.5,4.1,5.3,6.2,12.3,13
Netherlands,7.34,7.43,7.65,8.5,8.5,9.1,9.9,13.1,12.5
Nigeria,,,2.37,2.77,3.22,3.69,4.18,4.66,5.12
Belgium,5.7,6,6.4,6.4,6.4,6.7,7,7.2,
Luxembourg,4,4.6,5.31,6,6.6,7.3,7.97,8.69,
Korea,3.8,4.5,5.38,6.49,9.19,11.37,13.52,15.94,
Cyprus,5,8,6,4,5,4,,,
